Id;Model;Price;Mfg_Year;Sale_Year;Sale_Month;KM;Fuel_Type;HP;Met_Color;Color;Automatic;CC;Doors;Cylinders;Gears;Quarterly_Tax;Auto_Drive;Weight;Control_Conce;ABS;Airbag_1;Airbag_2;Automatic_airco;Boardcomputer;Seat_Heater;Sport_Model;Backseat_Divider;Leather Seats;Parking_Assistant
26;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;3954375;2015;2018;1;74000;Gasolina;86;1;Black;0;1300;3;4;5;65550;0;1015;1;1;1;1;0;0;0;1;1;0;0
27;T-Delux 1.6 16V HATCHB S 2/3-Doors;4161760;2015;2018;1;74096;Gasolina;110;1;Black;0;1600;3;4;5;65550;0;1050;1;0;1;0;0;0;0;1;1;0;0
28;T-Delux 1.6 16V SEDAN LINEA TERRA 4/5-Doors;3857000;2015;2018;1;87000;Gasolina;110;1;Blue;0;1600;4;4;5;65550;0;1035;1;1;1;1;0;0;0;0;0;0;0
29;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;3261920;2015;2018;1;161775;Gasolina;86;1;Black;0;1300;3;4;5;65550;0;1015;1;0;1;0;0;0;0;1;1;0;0
30;T-Delux 2.0 DSL HATCHB LINEA TERRA 2/3-Doors;2949750;2015;2018;1;183277;Diesel;72;0;Black;0;2000;3;4;5;175750;0;1115;1;0;1;0;0;0;0;0;1;0;0
31;T-Delux 1.6 16V VVT I HATCHB G6 2/3-Doors;8506205;2017;2018;2;49473;Gasolina;110;0;Red;0;1600;3;4;5;80750;0;1055;1;1;1;1;0;1;1;0;1;1;0
32;T-Delux 1.4 16V VVT I LIFTB TERRA 4/5-Doors;7635477;2017;2018;2;41273;Gasolina;97;0;Grey;0;1400;5;4;5;80750;0;1060;1;1;1;1;0;1;0;0;1;0;0
33;T-Delux 1.4 16V VVT I LIFTB TERRA 4/5-Doors;7569505;2017;2018;2;53700;Gasolina;97;1;Grey;0;1400;5;4;5;80750;0;1060;1;1;1;1;0;1;0;0;1;0;0
34;T-Delux 1.4 16V VVT I HATCHB TERRA 2/3-Doors;7291725;2017;2018;2;31579;Gasolina;97;0;Red;0;1400;3;4;5;65550;0;1025;1;1;1;1;0;1;0;0;1;0;0
35;T-Delux 1.6 16V VVT I WAGON TERRA Stationwagen;7722692;2017;2018;2;131364;Gasolina;110;1;Black;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;1;0;0;1;0;0
36;T-Delux 1.4 16V VVT I LIFTB TERRA 4/5-Doors;7861542;2017;2018;2;50967;Gasolina;97;1;Grey;0;1400;5;4;5;80750;0;1060;1;1;1;1;0;0;0;0;1;0;0
37;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;7723856;2016;2018;2;77821;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
38;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;6395400;2016;2018;2;31307;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1070;1;1;1;1;0;0;0;1;1;0;0
39;T-Delux 1.6 16V WAGON LINEA TERRA Stationwagen;5441600;2016;2018;2;140000;Gasolina;110;1;Black;0;1600;5;4;5;80750;0;1085;1;1;1;1;0;0;0;1;1;0;0
40;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;5441600;2016;2018;2;71317;Gasolina;110;0;Blue;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
41;T-Delux 1.6 4/5-Doors;5995687;2016;2018;2;41200;Gasolina;110;0;Red;0;1600;5;4;5;80750;0;1070;1;0;1;0;0;0;0;0;0;0;0
42;T-Delux 1.3 Linea Terra Comfort 4/5-Doors;6059812;2016;2018;2;30300;Gasolina;86;1;Red;0;1300;4;4;5;65550;0;1000;1;1;1;0;0;0;0;0;0;0;0
43;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;4630003;2016;2018;2;155720;Gasolina;86;1;Green;0;1300;3;4;5;65550;0;1015;1;1;1;1;0;0;0;1;1;1;0
44;T-Delux 1.6 HB LINEA LUNA 2/3-Doors;4718887;2015;2018;2;86000;Gasolina;110;0;Green;0;1600;3;4;5;18050;0;1050;1;1;1;0;1;0;1;0;0;0;0
45;T-Delux 1.3 16V HATCHB LINEA TERRA AUT3 2/3-Doors;5203530;2015;2018;2;68000;Gasolina;86;1;Black;1;1300;3;4;5;65550;0;1045;1;1;1;1;0;0;0;0;1;0;0
46;T-Delux 1.3 16V WAGON LINEA TERRA Stationwagen;4897440;2015;2018;2;57537;Gasolina;86;1;Grey;0;1300;5;4;5;65550;0;1050;1;0;1;0;0;0;0;0;1;0;0
47;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;4191637;2015;2018;2;123077;Gasolina;86;1;Red;0;1300;3;4;5;65550;0;1015;1;1;1;0;0;0;0;1;1;0;0
48;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;4471080;2015;2018;2;91399;Gasolina;110;1;Blue;0;1600;5;4;5;80750;0;1070;1;1;1;1;0;0;0;1;1;0;0
49;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;4651200;2015;2018;2;60483;Gasolina;110;1;Grey;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;0;0;1;0;0
50;T-Delux 1.6 LL HB 4/5-Doors;4364062;2015;2018;2;52000;Gasolina;110;0;Red;0;1600;5;4;5;18050;0;1075;0;1;0;0;0;0;0;0;0;0;0
51;T-Delux 1.3 Linea Terra wagon Stationwagen;4495400;2015;2018;2;75323;Gasolina;86;1;Red;0;1300;5;4;5;65550;0;1050;0;0;1;0;0;0;0;0;0;0;0
52;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;4302360;2015;2018;2;73460;Gasolina;110;1;Blue;0;1600;5;4;5;80750;0;1070;1;0;1;0;0;0;0;0;1;0;0
53;T-Delux 1.6 VVT-i Linea Sol 4/5-Doors;8857800;2017;2018;3;41636;Gasolina;110;1;Silver;0;1600;5;4;5;18050;0;1105;1;1;1;0;0;0;0;0;0;0;0
54;T-Delux 1.4 16V VVT I HATCHB TERRA 2/3-Doors;7465337;2017;2018;3;41700;Gasolina;97;1;Grey;0;1400;3;4;5;65550;0;1025;1;1;1;1;0;1;0;0;1;0;0
55;T-Delux 1.6 4/5-Doors;7037362;2017;2018;3;73634;Gasolina;110;0;Blue;0;1587;5;4;5;80750;0;1075;0;1;1;1;0;0;1;0;0;0;0
56;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;7492650;2016;2018;3;34000;Gasolina;110;0;Black;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
57;T-Delux 1.3 16V LIFTB G6 4/5-Doors;7723856;2016;2018;3;55478;Gasolina;86;0;Red;0;1300;5;4;5;65550;0;1045;1;1;1;1;0;0;1;0;1;1;0
58;T-Delux 1.6 16V WAGON LINEA LUNA Stationwagen;6392170;2016;2018;3;102494;Gasolina;110;0;Red;0;1600;5;4;5;80750;0;1090;1;1;1;1;0;0;1;0;1;0;0
59;T-Delux 2.0 DSL HATCHB LINEA LUNA 2/3-Doors;5781700;2016;2018;3;75569;Diesel;72;1;Green;0;2000;3;4;5;175750;0;1120;1;1;1;1;0;0;1;0;1;0;0
60;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;6121800;2016;2018;3;70954;Gasolina;110;0;Green;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
61;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;5441600;2016;2018;3;60000;Gasolina;86;1;Silver;0;1300;3;4;5;65550;0;1015;1;1;1;1;0;0;0;1;1;0;0
62;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;5445305;2016;2018;3;22835;Gasolina;110;1;Green;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;0;1;0;0
63;T-Delux 1.6 16V SEDAN LINEA TERRA 4/5-Doors;5956998;2016;2018;3;76155;Gasolina;110;1;Red;0;1600;4;4;5;65550;0;1035;1;1;1;1;0;0;0;0;1;0;0
64;T-Delux 1.3 16V LIFTB LINEA TERRA 4/5-Doors;5153750;2016;2018;3;62135;Gasolina;86;1;Green;0;1300;5;4;5;65550;0;1035;1;1;1;1;0;0;0;0;1;0;0
65;T-Delux 1.3 16V SEDAN LINEA TERRA 4/5-Doors;5602031;2016;2018;3;56074;Gasolina;86;0;Red;0;1300;4;4;5;65550;0;1000;1;1;1;1;0;0;0;0;0;0;0
66;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;4560000;2016;2018;3;59264;Gasolina;86;0;Silver;0;1300;3;4;5;65550;0;1015;1;1;1;1;0;0;0;1;1;0;0
67;T-Delux 1.6 16v VVTi Terra Comfort 4/5-Doors;5420343;2016;2018;3;70500;Gasolina;110;1;Blue;0;1600;5;4;5;65550;0;1035;1;1;1;0;0;0;0;0;0;0;0
68;T-Delux 1.3 16V SEDAN LINEA TERRA 4/5-Doors;5101500;2016;2018;3;40000;Gasolina;86;1;Blue;0;1300;4;4;5;65550;0;1000;1;1;1;1;0;0;0;0;0;0;0
69;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;4896395;2015;2018;3;42800;Gasolina;110;1;Black;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
70;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;4871790;2015;2018;3;59240;Gasolina;110;1;Blue;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
71;T-Delux 1.6 16V WAGON LINEA TERRA Stationwagen;5061600;2015;2018;3;110901;Gasolina;110;1;Grey;0;1600;5;4;5;80750;0;1085;1;0;1;0;0;0;0;0;1;0;0
72;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;5174460;2015;2018;3;57628;Gasolina;110;0;White;0;1600;5;4;5;80750;0;1075;1;0;1;0;0;0;0;0;1;0;0
73;T-Delux 1.6 16V WAGON LINEA TERRA Stationwagen;4941900;2015;2018;3;67255;Gasolina;110;0;Red;0;1600;5;4;5;80750;0;1085;1;0;1;0;0;0;0;0;1;0;0
74;T-Delux 1.6 16V S-uitvoering 2/3-Doors;4623840;2015;2018;3;98154;Gasolina;110;1;Black;0;1600;3;4;5;65550;0;1050;1;0;1;0;0;0;0;0;0;1;0
75;T-Delux LIFTBACK 1.6 Linea terra 4/5-Doors;4514400;2015;2018;3;58267;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1070;1;1;1;0;0;0;0;0;0;1;0
76;T-Delux 1.6 16V HATCHB LINEA LUNA 2/3-Doors;4234530;2015;2018;3;65307;Gasolina;110;1;Blue;0;1600;3;4;5;80750;0;1055;1;1;1;1;0;0;1;0;1;1;0
77;T-Delux 1.6 LB LINEA LUNA 4/5-Doors;4463812;2015;2018;3;47633;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1075;0;0;1;0;0;0;0;0;0;0;0
78;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;4161760;2015;2018;3;65950;Gasolina;110;0;Black;0;1600;5;4;5;80750;0;1070;1;1;1;1;0;0;0;1;1;0;0
79;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;4332237;2015;2018;3;74151;Gasolina;110;1;Red;0;1600;3;4;5;65550;0;1050;1;0;1;1;0;0;0;1;1;0;0
80;T-Delux 1.6 LB LINEA LUNA 4/5-Doors;3803040;2015;2018;3;99245;Gasolina;110;1;Red;0;1600;5;4;5;18050;0;1114;0;1;1;0;0;0;1;0;0;0;0
81;T-Delux 1.6 16V SEDAN LINEA TERRA 4/5-Doors;3963400;2015;2018;3;49580;Gasolina;110;1;Red;0;1600;4;4;5;65550;0;1035;1;1;1;1;0;0;0;0;0;0;0
82;T-Delux 1.6 16v Liftback Linea Terra 4/5-Doors;4098062;2015;2018;3;84000;Gasolina;110;1;Red;0;1600;5;4;5;18050;0;1065;1;1;1;0;0;0;0;0;0;0;0
83;T-Delux 1.3 HB LINEA TERRA 2/3-Doors;3697400;2015;2018;3;77000;Gasolina;86;0;Green;0;1300;3;4;5;18050;0;1015;1;1;1;0;0;0;0;0;0;0;0
84;T-Delux 1.6 16V SEDAN LINEA TERRA 4/5-Doors;3391500;2015;2018;3;110000;Gasolina;110;1;Grey;0;1600;4;4;5;65550;0;1035;1;0;1;1;0;0;0;0;0;0;0
85;T-Delux 2.0D LINEA TERRA+airco 2/3-Doors;2340800;2015;2018;3;203254;Diesel;72;1;Black;0;2000;3;4;5;60800;0;1135;0;0;0;0;0;0;0;0;0;0;0
86;T-Delux 1.6 16V VVT I LIFTB SOL 4/5-Doors;8588166;2017;2018;4;47219;Gasolina;110;1;Grey;0;1600;5;4;5;80750;0;1080;1;1;1;1;0;1;1;0;1;0;0
87;T-Delux 1.6 16V VVT I WAGON TERRA Stationwagen;8693212;2017;2018;4;34882;Gasolina;110;1;Silver;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;0;0;1;0;0
88;T-Delux 1.4 16V VVT I HATCHB TERRA 2/3-Doors;7567462;2017;2018;4;37461;Gasolina;97;0;Grey;0;1400;3;4;5;65550;0;1025;1;1;1;1;0;1;0;0;1;0;0
89;T-Delux 1.9 D LIFTB TERRA 4/5-Doors;6946542;2017;2018;4;98100;Diesel;69;1;Grey;0;1900;5;4;5;175750;0;1140;1;1;1;1;0;1;0;0;1;0;0
90;T-Delux 1.4 16V VVT I HATCHB TERRA 2/3-Doors;6580935;2017;2018;4;38900;Gasolina;97;1;Grey;0;1400;3;4;5;65550;0;1025;1;1;1;1;0;1;0;0;1;0;0
91;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;7294753;2016;2018;4;80000;Gasolina;110;0;Grey;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
92;T-Delux 1.6 16V WAGON LINEA TERRA AUT4 Stationwagen;6783000;2016;2018;4;57413;Gasolina;107;0;Red;1;1600;5;4;5;80750;0;1115;1;1;1;1;0;0;0;1;1;0;0
93;T-Delux 1.6 16v Linea Luna Stationwagen;7021687;2016;2018;4;84558;Gasolina;110;1;Silver;0;1600;5;4;5;18050;0;1120;1;1;1;0;0;0;0;0;0;0;0
94;T-Delux 1.6 Linea Luna Wagon Stationwagen;5671500;2016;2018;4;89000;Gasolina;110;1;White;0;1600;5;4;5;80750;0;1085;0;1;1;0;0;0;0;0;0;0;0
95;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;5271550;2016;2018;4;95000;Gasolina;110;0;Red;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;0;1;0;0
96;T-Delux 1.6 linea terra 4/5-Doors;5242100;2016;2018;4;52112;Gasolina;110;1;Grey;0;1600;4;4;5;65550;0;1035;0;1;1;1;0;0;0;0;1;0;0
97;T-Delux 1.3 16V LIFTB LINEA TERRA 4/5-Doors;5437800;2016;2018;4;57565;Gasolina;86;1;Green;0;1300;5;4;5;65550;0;1035;1;1;1;1;0;0;0;1;1;0;0
98;T-Delux ;5686818;2016;2018;4;50806;Gasolina;86;0;Green;0;1300;3;4;5;18050;0;1480;0;0;0;0;0;0;0;0;0;0;0
99;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;4467375;2015;2018;4;86860;Gasolina;110;0;Green;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
100;T-Delux 1.6 Linea Luna 4/5-Doors;4285260;2015;2018;4;82000;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1075;0;0;1;0;0;0;0;0;0;1;0
101;T-Delux 1.6 16V WAGON LINEA TERRA Stationwagen;5087250;2015;2018;4;59326;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1085;1;0;1;0;0;0;0;0;1;0;0
102;T-Delux 1.3 16V HATCHB LINEA TERRA AUT3 2/3-Doors;4750522;2015;2018;4;90011;Gasolina;86;0;Green;1;1300;3;4;5;65550;0;1045;1;1;1;1;0;0;0;1;1;0;0
103;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;4514400;2015;2018;4;87000;Gasolina;86;1;Black;0;1300;3;4;5;65550;0;1015;1;0;1;0;0;0;0;0;1;0;0
104;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;4451747;2015;2018;4;70932;Gasolina;110;1;Black;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
105;T-Delux 1.3 16V LIFTB LINEA TERRA 4/5-Doors;3898800;2015;2018;4;156169;Gasolina;86;1;Silver;0;1300;5;4;5;65550;0;1035;1;1;1;1;0;0;0;1;1;1;0
106;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;4078350;2015;2018;4;82700;Gasolina;110;0;Blue;0;1600;3;4;5;65550;0;1050;1;0;1;0;0;0;0;0;1;0;0
107;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;4622130;2015;2018;4;72222;Gasolina;110;1;Red;0;1600;5;4;5;80750;0;1070;1;1;1;0;0;0;0;0;1;0;0
108;T-Delux 1.3 16V LIFTB LINEA TERRA 4/5-Doors;4152972;2015;2018;4;95000;Gasolina;86;1;Grey;0;1300;5;4;5;65550;0;1035;1;1;1;1;0;0;0;1;1;0;0
109;T-Delux 2.0 DSL ;4229400;2015;2018;4;139145;Diesel;73;0;Black;0;2000;2;4;5;175750;0;1115;0;0;1;1;0;0;0;0;0;0;0
110;T-Delux 1.3 Linea Terra sedan 4/5-Doors;4493737;2015;2018;4;34000;Gasolina;86;1;Silver;0;1300;4;4;5;65550;0;1000;1;0;0;0;0;0;0;0;0;0;0
111;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;3693600;2015;2018;4;66168;Gasolina;86;1;Blue;0;1300;3;4;5;65550;0;1015;1;1;1;0;0;0;0;0;1;0;0
112;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;3137137;2015;2018;4;105856;Gasolina;86;0;White;0;1300;3;4;5;65550;0;1015;1;0;1;0;0;0;0;1;1;0;0
113;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;3529440;2015;2018;4;101855;Gasolina;110;1;Grey;0;1600;5;4;5;80750;0;1070;1;0;1;1;0;0;0;0;1;0;0
114;T-Delux 1.6 16V VVT I HATCHB SOL 2/3-Doors;9196926;2017;2018;5;49417;Gasolina;110;1;Red;0;1600;3;4;5;65550;0;1045;1;1;1;1;0;1;1;0;1;0;0
115;T-Delux 1.4 16V VVT I LIFTB TERRA 4/5-Doors;7904475;2017;2018;5;76167;Gasolina;97;1;Blue;0;1400;5;4;5;80750;0;1060;1;1;1;1;0;1;0;0;1;0;0
116;T-Delux 1.4 16V VVT I HATCHB TERRA 2/3-Doors;7257002;2017;2018;5;15000;Gasolina;97;1;Red;0;1400;3;4;5;65550;0;1025;1;1;1;1;0;1;0;0;1;0;0
117;T-Delux 1.4 16V VVT I HATCHB TERRA 2/3-Doors;7522290;2017;2018;5;17069;Gasolina;97;1;Green;0;1400;3;4;5;65550;0;1025;1;1;1;1;0;0;0;0;1;0;0
118;T-Delux 1.6 16V HATCHB G6 R 2/3-Doors;7957912;2016;2018;5;35512;Gasolina;110;1;Black;0;1600;3;4;6;80750;0;1065;1;1;1;1;0;0;1;1;1;1;0
119;T-Delux 1.6 16V LIFTB LINEA LUNA AUT4 4/5-Doors;6489450;2016;2018;5;55085;Gasolina;107;0;Blue;1;1600;5;4;5;80750;0;1105;1;1;1;1;0;0;1;0;1;1;0
120;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;6238650;2016;2018;5;61254;Gasolina;110;0;Red;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
121;T-Delux 1.3 16V HATCHB LINEA TERRA AUT3 2/3-Doors;6718400;2016;2018;5;66785;Gasolina;86;0;Blue;1;1300;3;4;5;65550;0;1045;1;1;1;1;0;0;0;1;1;0;0
122;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;5557500;2016;2018;5;34114;Gasolina;110;0;Blue;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
123;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;6498000;2016;2018;5;52968;Gasolina;110;1;Red;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
124;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;5006500;2016;2018;5;58300;Gasolina;86;1;Green;0;1300;3;4;5;65550;0;1015;1;1;1;1;0;0;0;1;1;0;0
125;T-Delux 1.6 Linea Terra LB 4/5-Doors;5272500;2016;2018;5;95750;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1070;1;1;1;0;0;0;0;0;0;0;0
126;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;4527937;2016;2018;5;64383;Gasolina;86;0;Red;0;1300;3;4;5;65550;0;1015;1;1;1;1;0;0;0;0;1;0;0
127;T-Delux 2.0 DSL LIFTB LINEA TERRA 4/5-Doors;5267868;2016;2018;5;154462;Diesel;72;1;Green;0;2000;5;4;5;175750;0;1135;1;1;1;1;0;0;0;0;1;0;0
128;T-Delux 2.0 SDN LINEA TERRA DSL 4/5-Doors;4531500;2016;2018;5;112000;Diesel;72;0;Grey;0;2000;4;4;5;60800;0;1135;1;1;1;0;0;0;0;0;0;0;0
129;T-Delux 1.6 Lin.Terra Aut. 4/5-Doors;4531500;2016;2018;5;43000;CNG;110;1;Silver;1;1600;4;4;3;68400;0;1114;0;1;1;0;0;0;0;0;0;0;0
130;T-Delux 1.3 16V SEDAN LINEA TERRA 4/5-Doors;4784437;2016;2018;5;33847;Gasolina;86;1;Grey;0;1300;4;4;5;65550;0;1000;1;1;1;1;0;0;0;0;0;0;0
131;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;4846425;2015;2018;5;66855;Gasolina;110;1;Red;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
132;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;5400560;2015;2018;5;74093;Gasolina;110;1;Silver;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
